School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
Oasis Academy Enfield,Enfield,0.00%,79.00%,6.00%,11.00%,0.00%,20.83%,15.00%,Good,2018-06-05 00:00:00,19.85%,London
King's Academy Prospect,Reading,0.00%,56.00%,9.00%,7.00%,2.00%,14.45%,75.00%,Good,2022-10-05 00:00:00,19.84%,South East
Verulam School,Hertfordshire,1.00%,85.00%,32.00%,25.00%,2.00%,11.97%,15.00%,Good,2018-10-10 00:00:00,19.82%,East of England
Harris Academy Chobham,Newham,2.00%,88.00%,27.00%,26.00%,1.00%,11.35%,20.00%,Outstanding,2015-06-19 00:00:00,19.82%,London
Sawtry Village Academy,Cambridgeshire,4.00%,71.00%,18.00%,17.00%,0.00%,8.20%,75.00%,Good,2023-09-15 00:00:00,19.80%,East of England
Cannock Chase High School,Staffordshire,10.00%,73.00%,10.00%,10.00%,0.00%,9.60%,75.00%,Good,2023-06-29 00:00:00,19.80%,West Midlands
Congleton High School,Cheshire East,4.00%,62.00%,15.00%,13.00%,0.00%,11.00%,75.00%,Good,2023-02-03 00:00:00,19.80%,North West
Ousedale School,Milton Keynes,2.00%,80.00%,26.00%,25.00%,2.00%,11.88%,25.00%,Good,2020-01-08 00:00:00,19.77%,South East
Oldfield School,Bath and North East Somerset,1.00%,71.00%,25.00%,22.00%,2.00%,14.30%,25.00%,Good,2020-01-22 00:00:00,19.77%,South West
The Commonweal School,Swindon,0.00%,61.00%,17.00%,16.00%,3.00%,10.05%,75.00%,Good,2023-06-14 00:00:00,19.75%,South West
Our Lady's Catholic High School,Hackney,0.00%,92.00%,21.00%,20.00%,0.00%,4.17%,75.00%,Good,2023-06-21 00:00:00,19.75%,London
Godalming College,Surrey,1.00%,74.00%,31.00%,27.00%,1.00%,10.62%,33.33%,Outstanding,2019-12-06 00:00:00,19.74%,South East
Framwellgate School Durham,County Durham,3.00%,68.00%,25.00%,20.00%,2.00%,14.82%,25.00%,Good,2021-07-15 00:00:00,19.74%,North East
Weavers Academy,North Northamptonshire,0.00%,76.00%,15.00%,15.00%,0.00%,8.80%,75.00%,Good,2022-05-25 00:00:00,19.73%,East Midlands
Norton College,North Yorkshire,0.00%,43.00%,14.00%,14.00%,0.00%,14.67%,75.00%,Good,2023-02-08 00:00:00,19.73%,Yorkshire and The Humber
Grace College,Gateshead,0.00%,68.00%,21.00%,21.00%,0.00%,12.08%,50.00%,Requires improvement,2023-07-04 00:00:00,19.73%,North East
Teign School,Devon,0.00%,61.00%,16.00%,14.00%,0.00%,11.32%,75.00%,Good,2022-10-12 00:00:00,19.72%,South West
Avonbourne Girls Academy,"Bournemouth, Christchurch and Poole",2.00%,73.00%,20.00%,16.00%,0.00%,7.90%,75.00%,Good,2023-06-07 00:00:00,19.72%,South West
Chatham Grammar,Medway,5.00%,80.00%,5.00%,7.00%,0.00%,10.53%,75.00%,Good,2023-10-18 00:00:00,19.72%,South East
George Stephenson High School,North Tyneside,2.00%,83.00%,32.00%,31.00%,2.00%,9.05%,25.00%,Good,2019-11-28 00:00:00,19.71%,North East
Trinity School,Cumberland,2.00%,77.00%,20.00%,15.00%,0.00%,11.57%,50.00%,Requires improvement,2022-05-12 00:00:00,19.70%,North West
Laureate Academy,Hertfordshire,0.00%,70.00%,10.00%,8.00%,0.00%,11.90%,75.00%,Good,2023-06-21 00:00:00,19.67%,East of England
"St Peter and St Paul, Catholic Voluntary Academy",Lincolnshire,0.00%,67.00%,13.00%,13.00%,0.00%,10.88%,75.00%,Good,2022-10-05 00:00:00,19.66%,East Midlands
Arthur Mellows Village College,Peterborough,2.00%,80.00%,31.00%,28.00%,0.00%,11.53%,20.00%,Outstanding,2014-12-04 00:00:00,19.65%,East of England
Bilborough College,Nottingham,2.00%,80.00%,23.00%,22.00%,2.00%,12.68%,25.00%,Good,2020-01-30 00:00:00,19.62%,East Midlands
Oakgrove School,Milton Keynes,2.00%,80.00%,22.00%,19.00%,2.00%,13.43%,25.00%,Good,2019-06-27 00:00:00,19.62%,South East
One Sixth Form College,Suffolk,4.00%,62.00%,9.00%,8.00%,,8.43%,100.00%,Outstanding,2022-04-29 00:00:00,19.60%,East of England
Sponne School,West Northamptonshire,1.00%,83.00%,27.00%,21.00%,1.00%,12.88%,20.00%,Outstanding,2012-10-03 00:00:00,19.58%,East Midlands
UTC Plymouth,Plymouth,0.00%,53.00%,7.00%,0.00%,0.00%,16.67%,75.00%,Good,2023-01-18 00:00:00,19.58%,South West
Colonel Frank Seely Academy,Nottinghamshire,0.00%,74.00%,18.00%,15.00%,0.00%,8.33%,75.00%,Good,2022-05-18 00:00:00,19.58%,East Midlands
Highfields School,Wolverhampton,2.00%,83.00%,19.00%,17.00%,1.00%,14.02%,25.00%,Good,2021-10-20 00:00:00,19.58%,West Midlands
Brentside High School,Ealing,0.00%,82.00%,19.00%,19.00%,0.00%,14.33%,25.00%,Good,2020-02-05 00:00:00,19.57%,London
Malcolm Arnold Academy,West Northamptonshire,2.00%,70.00%,9.00%,6.00%,0.00%,11.92%,75.00%,Good,2023-11-08 00:00:00,19.56%,East Midlands
Thorpe St Andrew School and Sixth Form,Norfolk,2.00%,65.00%,17.00%,15.00%,2.00%,13.28%,50.00%,Requires improvement,2022-07-06 00:00:00,19.56%,East of England
Royal Wootton Bassett Academy,Wiltshire,3.00%,76.00%,26.00%,25.00%,1.00%,13.02%,20.00%,Outstanding,2013-11-29 00:00:00,19.55%,South West
Southam College,Warwickshire,2.00%,78.00%,25.00%,19.00%,0.00%,12.18%,33.33%,Outstanding,2021-09-16 00:00:00,19.52%,West Midlands
Mayfield School,Redbridge,3.00%,89.00%,18.00%,17.00%,1.00%,14.54%,15.00%,Good,2018-11-01 00:00:00,19.51%,London
Shaftesbury School,Dorset,1.00%,51.00%,20.00%,19.00%,3.00%,9.97%,75.00%,Good,2023-03-08 00:00:00,19.51%,South West
The Deepings School,Lincolnshire,4.00%,73.00%,14.00%,13.00%,0.00%,12.90%,50.00%,Requires improvement,2023-09-14 00:00:00,19.50%,East Midlands
Heathcote School & Science College,Waltham Forest,0.00%,73.00%,15.00%,14.00%,1.00%,18.77%,15.00%,Good,2018-09-27 00:00:00,19.49%,London
Hall Park Academy,Nottinghamshire,0.00%,54.00%,22.00%,22.00%,0.00%,13.53%,50.00%,Requires improvement,2022-03-31 00:00:00,19.47%,East Midlands
"Joyce Frankland Academy, Newport",Essex,0.00%,68.00%,23.00%,20.00%,0.00%,7.27%,75.00%,Good,2023-06-28 00:00:00,19.47%,East of England
Theale Green School,West Berkshire,0.00%,61.00%,11.00%,12.00%,0.00%,11.98%,75.00%,Good,2022-05-05 00:00:00,19.44%,South East
City of Stoke-On-Trent Sixth Form College,Stoke-on-Trent,1.00%,69.00%,10.00%,9.00%,1.00%,11.00%,75.00%,Good,2023-04-27 00:00:00,19.44%,West Midlands
West Coventry Academy,Coventry,3.00%,76.00%,6.00%,6.00%,0.00%,11.00%,75.00%,Good,2023-09-21 00:00:00,19.43%,West Midlands
The Chalfonts Community College,Buckinghamshire,7.00%,71.00%,9.00%,8.00%,0.00%,10.27%,75.00%,Good,2022-11-02 00:00:00,19.43%,South East
Kingsmead School,Staffordshire,2.00%,74.00%,20.00%,18.00%,0.00%,15.09%,25.00%,Good,2021-12-02 00:00:00,19.43%,West Midlands
St Wilfrid's Catholic High School & Sixth Form College: A Voluntary Academy,Wakefield,0.00%,76.00%,17.00%,17.00%,0.00%,15.78%,25.00%,Good,2021-11-18 00:00:00,19.42%,Yorkshire and The Humber
St Ignatius College,Enfield,0.00%,89.00%,19.00%,16.00%,1.00%,13.22%,25.00%,Good,2019-11-06 00:00:00,19.42%,London
Frome Community College,Somerset,1.00%,57.00%,12.00%,11.00%,1.00%,12.22%,75.00%,Good,2023-10-05 00:00:00,19.42%,South West
Holy Cross College,Bury,2.00%,82.00%,27.00%,24.00%,1.00%,12.77%,15.00%,Good,2018-12-12 00:00:00,19.41%,North West
Samworth Church Academy,Nottinghamshire,0.00%,81.00%,29.00%,27.00%,0.00%,6.73%,50.00%,Requires improvement,2022-12-01 00:00:00,19.40%,East Midlands
Kesgrave High School,Suffolk,6.00%,67.00%,14.00%,9.00%,2.00%,9.48%,75.00%,Good,2022-12-07 00:00:00,19.39%,East of England
UTC Sheffield Olympic Legacy Park,Sheffield,2.00%,67.00%,10.00%,10.00%,0.00%,19.43%,25.00%,Good,2019-01-31 00:00:00,19.38%,Yorkshire and The Humber
Worcester Sixth Form College,Worcestershire,1.00%,65.00%,13.00%,15.00%,,10.10%,75.00%,Good,2023-01-31 00:00:00,19.38%,West Midlands
St John Bosco Arts College,Liverpool,0.00%,74.00%,14.00%,12.00%,2.00%,17.02%,25.00%,Good,2021-12-08 00:00:00,19.37%,North West
Kirk Hallam Community Academy,Derbyshire,0.00%,51.00%,10.00%,7.00%,2.00%,18.33%,50.00%,Requires improvement,2022-07-13 00:00:00,19.37%,East Midlands
Taverham High School,Norfolk,0.00%,60.00%,9.00%,9.00%,1.00%,12.67%,75.00%,Good,2023-05-17 00:00:00,19.36%,East of England
Helsby High School,Cheshire West and Chester,5.00%,68.00%,20.00%,15.00%,0.00%,7.70%,75.00%,Good,2023-07-19 00:00:00,19.35%,North West
Barnsley College,Barnsley,1.00%,49.00%,7.00%,6.00%,,11.33%,100.00%,Outstanding,2022-03-11 00:00:00,19.35%,Yorkshire and The Humber
Sir Thomas Wharton Academy,Doncaster,0.00%,72.00%,28.00%,24.00%,0.00%,13.03%,25.00%,Good,2021-09-22 00:00:00,19.33%,Yorkshire and The Humber
The Corsham School,Wiltshire,0.00%,80.00%,24.00%,22.00%,1.00%,12.47%,25.00%,Good,2019-09-12 00:00:00,19.31%,South West
Wolfreton School and Sixth Form College,East Riding of Yorkshire,2.00%,77.00%,27.00%,27.00%,0.00%,11.37%,25.00%,Good,2021-10-08 00:00:00,19.30%,Yorkshire and The Humber
Quarrydale Academy,Nottinghamshire,2.00%,63.00%,17.00%,15.00%,0.00%,13.60%,50.00%,Requires improvement,2022-11-16 00:00:00,19.30%,East Midlands
Woodrush High School,Worcestershire,2.00%,78.00%,17.00%,13.00%,0.00%,17.32%,15.00%,Good,2018-12-12 00:00:00,19.29%,West Midlands
Outwood Academy Newbold,Derbyshire,3.00%,64.00%,9.00%,9.00%,0.00%,11.57%,75.00%,Good,2022-11-23 00:00:00,19.27%,East Midlands
Christleton High School,Cheshire West and Chester,1.00%,78.00%,26.00%,23.00%,1.00%,12.85%,20.00%,Outstanding,2014-11-06 00:00:00,19.27%,North West
The Elizabethan Academy,Nottinghamshire,3.00%,64.00%,25.00%,25.00%,3.00%,14.93%,15.00%,Good,2018-05-02 00:00:00,19.26%,East Midlands
Plantsbrook School,Birmingham,3.00%,84.00%,28.00%,24.00%,0.00%,10.38%,25.00%,Good,2019-06-05 00:00:00,19.26%,West Midlands
UTC South Durham,County Durham,21.00%,55.00%,7.00%,3.00%,0.00%,19.92%,25.00%,Good,2019-01-10 00:00:00,19.26%,North East
Strode College,Somerset,2.00%,58.00%,14.00%,13.00%,,11.03%,75.00%,Good,2022-10-07 00:00:00,19.23%,South West
Stationers' Crown Woods Academy,Greenwich,4.00%,72.00%,15.00%,12.00%,0.00%,8.40%,75.00%,Good,2023-01-18 00:00:00,19.23%,London
Oasis Academy Shirley Park,Croydon,0.00%,86.00%,27.00%,27.00%,2.00%,9.55%,25.00%,Good,2019-05-01 00:00:00,19.22%,London
The Ursuline Academy Ilford,Redbridge,0.00%,87.00%,20.00%,18.00%,0.00%,12.85%,25.00%,Good,2021-10-13 00:00:00,19.22%,London
Edmonton County School,Enfield,0.00%,83.00%,18.00%,16.00%,0.00%,15.88%,15.00%,Good,2018-11-01 00:00:00,19.21%,London
Northampton School for Girls,West Northamptonshire,0.00%,81.00%,21.00%,20.00%,1.00%,12.98%,25.00%,Good,2021-12-01 00:00:00,19.20%,East Midlands
Ossett Academy and Sixth Form College,Wakefield,2.00%,67.00%,22.00%,20.00%,1.00%,6.48%,75.00%,Good,2022-11-16 00:00:00,19.20%,Yorkshire and The Humber
Queen Elizabeth's Academy,Nottinghamshire,0.00%,60.00%,7.00%,7.00%,0.00%,13.33%,75.00%,Good,2023-04-19 00:00:00,19.20%,East Midlands
City of London Academy Islington,Islington,0.00%,64.00%,26.00%,26.00%,0.00%,12.62%,33.33%,Outstanding,2019-03-14 00:00:00,19.19%,London
Sir John Talbot's School,Shropshire,0.00%,79.00%,15.00%,12.00%,0.00%,17.80%,15.00%,Good,2017-04-26 00:00:00,19.18%,West Midlands
Abbeyfield School,West Northamptonshire,3.00%,78.00%,18.00%,16.00%,0.00%,14.50%,25.00%,Good,2021-09-15 00:00:00,19.18%,East Midlands
St Peter's Catholic High School and Sixth Form Centre,Gloucestershire,3.00%,68.00%,17.00%,15.00%,1.00%,7.95%,75.00%,Good,2022-01-19 00:00:00,19.18%,South West
Allerton High School,Leeds,1.00%,76.00%,25.00%,24.00%,1.00%,12.92%,20.00%,Outstanding,2018-12-13 00:00:00,19.15%,Yorkshire and The Humber
Kings Langley School,Hertfordshire,3.00%,80.00%,26.00%,20.00%,3.00%,12.85%,15.00%,Good,2018-05-09 00:00:00,19.13%,East of England
Thorp Academy,Gateshead,2.00%,64.00%,26.00%,24.00%,0.00%,13.93%,25.00%,Good,2019-04-03 00:00:00,19.12%,North East
Thurston Community College,Suffolk,2.00%,70.00%,27.00%,24.00%,0.00%,14.37%,15.00%,Good,2018-03-23 00:00:00,19.08%,East of England
Solihull Sixth Form College,Solihull,1.00%,83.00%,19.00%,19.00%,,13.03%,25.00%,Good,2020-02-14 00:00:00,19.08%,West Midlands
St Margaret's Church of England Academy,Liverpool,1.00%,65.00%,26.00%,24.00%,0.00%,15.25%,16.67%,Requires improvement,2021-11-04 00:00:00,19.08%,North West
Our Lady and St Chad Catholic Academy,Wolverhampton,0.00%,71.00%,10.00%,10.00%,2.00%,9.65%,75.00%,Good,2023-05-12 00:00:00,19.08%,West Midlands
The Bewdley School,Worcestershire,0.00%,83.00%,20.00%,20.00%,0.00%,12.82%,25.00%,Good,2019-09-12 00:00:00,19.08%,West Midlands
Tewkesbury Academy,Gloucestershire,3.00%,67.00%,17.00%,14.00%,0.00%,12.50%,50.00%,Requires improvement,2022-10-12 00:00:00,19.07%,South West
King Solomon High School,Redbridge,1.00%,88.00%,20.00%,22.00%,0.00%,12.77%,16.67%,Requires improvement,2021-11-11 00:00:00,19.06%,London
Thomas Deacon Academy,Peterborough,0.00%,86.00%,19.00%,19.00%,1.00%,12.35%,25.00%,Good,2019-09-19 00:00:00,19.03%,East of England
Simon Balle All-Through School,Hertfordshire,1.00%,71.00%,22.00%,20.00%,1.00%,14.80%,20.00%,Outstanding,2018-05-10 00:00:00,19.02%,East of England
Coppice Performing Arts School,Wolverhampton,0.00%,59.00%,9.00%,9.00%,0.00%,12.40%,75.00%,Good,2022-10-13 00:00:00,19.02%,West Midlands
Midhurst Rother College,West Sussex,0.00%,69.00%,14.00%,11.00%,3.00%,17.85%,20.00%,Outstanding,2013-05-02 00:00:00,18.98%,South East
Rainford High School,St. Helens,1.00%,79.00%,31.00%,18.00%,1.00%,11.45%,25.00%,Good,2021-09-15 00:00:00,18.98%,North West
The Forest School,Wokingham,2.00%,70.00%,12.00%,12.00%,0.00%,17.40%,25.00%,Good,2021-07-07 00:00:00,18.98%,South East
Park Hall Academy,Solihull,2.00%,58.00%,8.00%,9.00%,0.00%,12.33%,75.00%,Good,2023-05-18 00:00:00,18.98%,West Midlands
The Regis School,West Sussex,0.00%,56.00%,7.00%,4.00%,0.00%,14.13%,75.00%,Good,2023-03-08 00:00:00,18.97%,South East
Wigston College,Leicestershire,0.00%,72.00%,16.00%,15.00%,0.00%,7.77%,75.00%,Good,2022-05-11 00:00:00,18.97%,East Midlands
Retford Oaks Academy,Nottinghamshire,0.00%,76.00%,0.00%,0.00%,0.00%,12.73%,75.00%,Good,2022-05-11 00:00:00,18.95%,East Midlands
Menorah High School for Girls,Barnet,0.00%,45.00%,21.00%,18.00%,0.00%,19.12%,25.00%,Good,2019-02-27 00:00:00,18.94%,London
Burnside College,North Tyneside,2.00%,72.00%,34.00%,34.00%,0.00%,8.92%,25.00%,Good,2020-01-23 00:00:00,18.94%,North East
Accrington Academy,Lancashire,0.00%,70.00%,11.00%,7.00%,1.00%,14.40%,50.00%,Requires improvement,2022-05-05 00:00:00,18.94%,North West
The Norwood School,Lambeth,2.00%,79.00%,17.00%,13.00%,2.00%,5.88%,75.00%,Good,2023-02-23 00:00:00,18.91%,London
The Urswick School - A Church of England Secondary School,Hackney,0.00%,73.00%,11.00%,11.00%,0.00%,9.07%,75.00%,Good,2022-07-06 00:00:00,18.88%,London
Bishop Burton College,East Riding of Yorkshire,1.00%,44.00%,3.00%,3.00%,0.00%,16.67%,75.00%,Good,2023-05-19 00:00:00,18.88%,Yorkshire and The Humber
Driffield School and Sixth Form,East Riding of Yorkshire,0.00%,81.00%,23.00%,20.00%,0.00%,12.27%,25.00%,Good,2020-01-09 00:00:00,18.88%,Yorkshire and The Humber
Steyning Grammar School,West Sussex,5.00%,69.00%,20.00%,17.00%,1.00%,10.03%,50.00%,Requires improvement,2023-04-26 00:00:00,18.84%,South East
The Deanery Church of England High School and Sixth Form College,Wigan,2.00%,55.00%,11.00%,6.00%,0.00%,12.65%,75.00%,Good,2022-05-19 00:00:00,18.84%,North West
Alder Grange School,Lancashire,2.00%,63.00%,13.00%,8.00%,2.00%,10.07%,75.00%,Good,2022-01-12 00:00:00,18.83%,North West
Reepham High School and College,Norfolk,0.00%,75.00%,23.00%,22.00%,1.00%,12.50%,25.00%,Good,2020-02-06 00:00:00,18.83%,East of England
Holderness Academy and Sixth Form College,East Riding of Yorkshire,2.00%,80.00%,17.00%,17.00%,0.00%,9.42%,50.00%,Requires improvement,2023-03-03 00:00:00,18.83%,Yorkshire and The Humber
Wombourne High School,Staffordshire,7.00%,63.00%,5.00%,5.00%,0.00%,11.65%,75.00%,Good,2022-03-09 00:00:00,18.82%,West Midlands
St Paul's Catholic School,Milton Keynes,1.00%,86.00%,19.00%,14.00%,1.00%,12.72%,25.00%,Good,2019-11-13 00:00:00,18.80%,South East
Collingwood College,Surrey,0.00%,70.00%,13.00%,9.00%,0.00%,9.47%,75.00%,Good,2022-05-11 00:00:00,18.80%,South East
Morecambe Bay Academy,Lancashire,3.00%,69.00%,20.00%,9.00%,0.00%,7.95%,75.00%,Good,2023-09-21 00:00:00,18.79%,North West
The FitzWimarc School,Essex,3.00%,69.00%,14.00%,12.00%,1.00%,8.10%,75.00%,Good,2022-10-06 00:00:00,18.79%,East of England
The Douay Martyrs Catholic School,Hillingdon,1.00%,92.00%,24.00%,23.00%,1.00%,10.68%,15.00%,Good,2018-10-17 00:00:00,18.77%,London
Wednesfield Academy,Wolverhampton,6.00%,69.00%,11.00%,8.00%,0.00%,13.25%,50.00%,Requires improvement,2022-11-09 00:00:00,18.76%,West Midlands
Lincoln Christ's Hospital School,Lincolnshire,1.00%,74.00%,18.00%,16.00%,0.00%,6.27%,75.00%,Good,2023-06-07 00:00:00,18.73%,East Midlands
Christ The King Catholic High School and Sixth Form Centre,Sefton,0.00%,77.00%,23.00%,20.00%,2.00%,13.52%,16.67%,Requires improvement,2020-02-26 00:00:00,18.73%,North West
Cardinal Heenan Catholic High School,Liverpool,4.00%,68.00%,15.00%,15.00%,0.00%,15.77%,25.00%,Good,2021-09-29 00:00:00,18.72%,North West
Freman College,Hertfordshire,5.00%,74.00%,18.00%,15.00%,0.00%,14.07%,25.00%,Good,2019-03-13 00:00:00,18.70%,East of England
Cheslyn Hay Academy,Staffordshire,3.00%,62.00%,15.00%,12.00%,1.00%,8.88%,75.00%,Good,2022-10-19 00:00:00,18.68%,West Midlands
Dudley College of Technology,Dudley,3.00%,52.00%,4.00%,3.00%,0.00%,14.43%,75.00%,Good,2023-11-17 00:00:00,18.68%,West Midlands
Bourne Academy,Lincolnshire,4.00%,66.00%,12.00%,11.00%,0.00%,8.98%,75.00%,Good,2022-05-05 00:00:00,18.68%,East Midlands
The Duston School,West Northamptonshire,0.00%,75.00%,21.00%,15.00%,1.00%,13.93%,25.00%,Good,2021-06-25 00:00:00,18.67%,East Midlands
Rainhill High School,St. Helens,1.00%,57.00%,8.00%,7.00%,1.00%,12.17%,75.00%,Good,2023-02-24 00:00:00,18.66%,North West
Bullers Wood School,Bromley,2.00%,84.00%,23.00%,20.00%,0.00%,11.77%,20.00%,Outstanding,2011-05-26 00:00:00,18.63%,London
E-ACT Crest Academy,Brent,0.00%,90.00%,5.00%,3.00%,0.00%,16.65%,25.00%,Good,2021-11-10 00:00:00,18.63%,London
Thomas Alleyne's High School,Staffordshire,3.00%,79.00%,18.00%,15.00%,0.00%,13.38%,25.00%,Good,2019-11-20 00:00:00,18.61%,West Midlands
The Misbourne School,Buckinghamshire,2.00%,64.00%,15.00%,11.00%,0.00%,9.02%,75.00%,Good,2022-05-25 00:00:00,18.61%,South East
The Hollyfield School and Sixth Form Centre,Kingston upon Thames,1.00%,76.00%,16.00%,15.00%,0.00%,14.53%,25.00%,Good,2020-03-11 00:00:00,18.60%,London
De Aston School,Lincolnshire,0.00%,70.00%,15.00%,7.00%,0.00%,9.12%,75.00%,Good,2022-03-09 00:00:00,18.59%,East Midlands
Skegness Grammar School,Lincolnshire,0.00%,74.00%,19.00%,19.00%,0.00%,13.68%,25.00%,Good,2021-09-22 00:00:00,18.58%,East Midlands
Southfields Academy,Wandsworth,1.00%,72.00%,8.00%,8.00%,0.00%,9.53%,75.00%,Good,2023-02-24 00:00:00,18.57%,London
Holy Family Catholic High School,Sefton,0.00%,75.00%,13.00%,10.00%,0.00%,16.30%,25.00%,Good,2019-05-09 00:00:00,18.57%,North West
Nottingham Academy,Nottingham,1.00%,73.00%,12.00%,12.00%,0.00%,12.05%,50.00%,Requires improvement,2023-11-15 00:00:00,18.56%,East Midlands
Leyton Sixth Form College,Waltham Forest,1.00%,80.00%,11.00%,10.00%,,15.60%,25.00%,Good,2020-03-04 00:00:00,18.55%,London
The Cottesloe School,Buckinghamshire,0.00%,78.00%,20.00%,14.00%,0.00%,13.80%,25.00%,Good,2021-11-10 00:00:00,18.55%,South East
Hessle High School and Penshurst Primary School,East Riding of Yorkshire,4.00%,83.00%,20.00%,17.00%,0.00%,13.33%,15.00%,Good,2018-09-13 00:00:00,18.53%,Yorkshire and The Humber
Idsall School,Shropshire,1.00%,78.00%,28.00%,26.00%,0.00%,14.02%,0.00%,Special Measures,2022-09-29 00:00:00,18.53%,West Midlands
Campion School,West Northamptonshire,0.00%,80.00%,20.00%,15.00%,2.00%,12.68%,25.00%,Good,2021-11-10 00:00:00,18.51%,East Midlands
South Craven School,North Yorkshire,3.00%,69.00%,10.00%,8.00%,1.00%,8.98%,75.00%,Good,2023-02-03 00:00:00,18.50%,Yorkshire and The Humber
William Morris Sixth Form,Hammersmith and Fulham,0.00%,81.00%,12.00%,10.00%,0.00%,6.97%,75.00%,Good,2023-01-12 00:00:00,18.48%,London
Seaford Head School,East Sussex,2.00%,68.00%,15.00%,12.00%,0.00%,17.05%,20.00%,Outstanding,2017-09-14 00:00:00,18.48%,South East
Barnet and Southgate College,Barnet,1.00%,67.00%,5.00%,4.00%,,11.47%,75.00%,Good,2022-03-11 00:00:00,18.47%,London
Harris Boys' Academy East Dulwich,Southwark,3.00%,67.00%,3.00%,3.00%,0.00%,20.83%,20.00%,Outstanding,2011-12-08 00:00:00,18.47%,London
Dover Grammar School for Boys,Kent,0.00%,80.00%,20.00%,16.00%,1.00%,12.63%,25.00%,Good,2019-10-16 00:00:00,18.46%,South East
John Henry Newman Catholic College,Solihull,3.00%,69.00%,16.00%,17.00%,0.00%,14.68%,25.00%,Good,2021-11-11 00:00:00,18.46%,West Midlands
Barr's Hill School and Community College,Coventry,0.00%,59.00%,5.00%,5.00%,0.00%,22.75%,15.00%,Good,2018-09-19 00:00:00,18.46%,West Midlands
Rossett School,North Yorkshire,2.00%,69.00%,21.00%,19.00%,1.00%,9.17%,50.00%,Requires improvement,2022-11-23 00:00:00,18.44%,Yorkshire and The Humber
Moulsham High School,Essex,2.00%,76.00%,23.00%,18.00%,0.00%,12.28%,25.00%,Good,2020-01-29 00:00:00,18.44%,East of England
Robert Barclay Academy,Hertfordshire,4.00%,71.00%,4.00%,4.00%,0.00%,10.42%,75.00%,Good,2023-03-08 00:00:00,18.44%,East of England
City of Sunderland College,Sunderland,,55.00%,9.00%,7.00%,,12.32%,75.00%,Good,2022-05-13 00:00:00,18.44%,North East
Sir Harry Smith Community College,Cambridgeshire,5.00%,69.00%,20.00%,17.00%,5.00%,13.98%,15.00%,Good,2018-10-10 00:00:00,18.40%,East of England
Havelock Academy,North East Lincolnshire,3.00%,84.00%,5.00%,5.00%,0.00%,7.97%,75.00%,Good,2023-01-12 00:00:00,18.40%,Yorkshire and The Humber
The John of Gaunt School,Wiltshire,2.00%,85.00%,29.00%,23.00%,0.00%,10.33%,15.00%,Good,2018-05-15 00:00:00,18.38%,South West
Holmes Chapel Comprehensive School,Cheshire East,5.00%,69.00%,27.00%,22.00%,0.00%,11.33%,25.00%,Good,2020-02-12 00:00:00,18.37%,North West
Blue Coat Church of England Academy,Walsall,0.00%,69.00%,10.00%,8.00%,0.00%,9.45%,75.00%,Good,2023-01-25 00:00:00,18.36%,West Midlands
Felpham Community College,West Sussex,1.00%,72.00%,15.00%,15.00%,0.00%,14.87%,25.00%,Good,2019-03-26 00:00:00,18.35%,South East
"St Anselm's Catholic School, Canterbury",Kent,0.00%,73.00%,5.00%,3.00%,0.00%,10.58%,75.00%,Good,2023-09-13 00:00:00,18.34%,South East
Ormiston Shelfield Community Academy,Walsall,1.00%,60.00%,3.00%,3.00%,0.00%,12.92%,75.00%,Good,2023-01-26 00:00:00,18.34%,West Midlands
Harris Girls Academy Bromley,Bromley,0.00%,79.00%,24.00%,24.00%,0.00%,11.35%,20.00%,Outstanding,2017-11-30 00:00:00,18.33%,London
